"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2753","Update an existing product","Product API Tests","Sat Oct 26 08:23:18 ICT 2024","passed","Sat Oct 26 08:23:21 ICT 2024","","","",""
"","24703","Order created successfully","Order Tests","Sat Oct 26 08:22:24 ICT 2024","passed","Sat Oct 26 08:22:48 ICT 2024","","","",""
"","3559","Delete an existing product","Product API Tests","Sat Oct 26 08:23:21 ICT 2024","passed","Sat Oct 26 08:23:24 ICT 2024","","","",""
"","6689","Item removed from cart successfully","Cart API Tests","Sat Oct 26 08:22:48 ICT 2024","passed","Sat Oct 26 08:22:55 ICT 2024","","","",""
"","2976","Test add to cart while item already exists in cart","Cart API Tests","Sat Oct 26 08:22:55 ICT 2024","passed","Sat Oct 26 08:22:58 ICT 2024","","","",""
"","5315","Create a new product","Product API Tests","Sat Oct 26 08:23:13 ICT 2024","passed","Sat Oct 26 08:23:18 ICT 2024","","","",""
"","8602","Water parameters updated successfully","Pond and Fish Management","Sat Oct 26 08:22:58 ICT 2024","passed","Sat Oct 26 08:23:07 ICT 2024","","","",""
